be_trigger_mult	partial_frac	lock_atr_mult	adx_min	breakout_min_delta	atr_min_pct	result_line	diag3_line	reasons_line
1.0	0.25	0.4	15	0.0006	0.0015			
1.0	0.25	0.4	15	0.0006	0.0020			
1.0	0.25	0.4	15	0.0006	0.0025			
1.0	0.25	0.4	15	0.0010	0.0015			
1.0	0.25	0.4	15	0.0010	0.0020			
1.0	0.25	0.4	15	0.0010	0.0025			
1.0	0.25	0.4	15	0.0015	0.0015			
1.0	0.25	0.4	15	0.0015	0.0020			
1.0	0.25	0.4	15	0.0015	0.0025			
1.0	0.25	0.4	20	0.0006	0.0015			
1.0	0.25	0.4	20	0.0006	0.0020			
1.0	0.25	0.4	20	0.0006	0.0025			
1.0	0.25	0.4	20	0.0010	0.0015			
1.0	0.25	0.4	20	0.0010	0.0020			
1.0	0.25	0.4	20	0.0010	0.0025			
1.0	0.25	0.4	20	0.0015	0.0015			
1.0	0.25	0.4	20	0.0015	0.0020			
1.0	0.25	0.4	20	0.0015	0.0025			
1.0	0.25	0.4	25	0.0006	0.0015			
1.0	0.25	0.4	25	0.0006	0.0020			
1.0	0.25	0.4	25	0.0006	0.0025			
1.0	0.25	0.4	25	0.0010	0.0015			
1.0	0.25	0.4	25	0.0010	0.0020			
1.0	0.25	0.4	25	0.0010	0.0025			
1.0	0.25	0.4	25	0.0015	0.0015			
1.0	0.25	0.4	25	0.0015	0.0020			
1.0	0.25	0.4	25	0.0015	0.0025			
1.0	0.25	0.4	30	0.0006	0.0015			
1.0	0.25	0.4	30	0.0006	0.0020			
1.0	0.25	0.4	30	0.0006	0.0025			
1.0	0.25	0.4	30	0.0010	0.0015			
1.0	0.25	0.4	30	0.0010	0.0020			
1.0	0.25	0.4	30	0.0010	0.0025			
1.0	0.25	0.4	30	0.0015	0.0015			
1.0	0.25	0.4	30	0.0015	0.0020			
1.0	0.25	0.4	30	0.0015	0.0025			
